	Source file	DateTime	Date	Time	Duration(s)	Comments	Total points	Selection type	Components	Ca43_CPS	Ca43_CPS_Int2SE	IntStdWv	IntStdWv_Int2SE	Si_ppm_m29	Si_ppm_m29_Int2SE	Cl_ppm_m35	Cl_ppm_m35_Int2SE	Sm_ppm_m147	Sm_ppm_m147_Int2SE	Th_ppm_m232	Th_ppm_m232_Int2SE	U_ppm_m238	U_ppm_m238_Int2SE
G_NIST612_7	ZO6041	26/03/2020 (5) 14:09:53.53	26/03/2020 (5)	14:09:53.53	12.823	ZO6041, 2:09:54 PM (12.8 sec)	52	Normal	1	1.00E+04	0.16E+04	8.5	1.0	3.33E+05	0.40E+05	Below LOD	Below LOD	41.0	4.3	36.6	2.4	36.6	3.4
G_NIST612_8	ZO6041	26/03/2020 (5) 14:10:48.21	26/03/2020 (5)	14:10:48.21	13.208	ZO6041, 2:10:48 PM (19.1 sec)	54	Normal	1	9.7E+03	1.3E+03	8.5	1.0	3.18E+05	0.37E+05	Below LOD	Below LOD	36.0	3.1	36.6	2.9	37.1	3.7
G_NIST612_9	ZO6041	26/03/2020 (5) 14:23:01.38	26/03/2020 (5)	14:23:01.38	14.21	ZO6041, 2:23:01 PM (19.6 sec)	58	Normal	1	8.3E+03	1.2E+03	8.5	1.0	3.73E+05	0.45E+05	260	210	40.8	3.6	39.1	2.9	39.6	3.8
G_NIST612_10	ZO6041	26/03/2020 (5) 14:23:56.30	26/03/2020 (5)	14:23:56.30	17.351	ZO6041, 2:23:56 PM (18.8 sec)	71	Normal	1	8.7E+03	1.4E+03	8.5	1.0	3.27E+05	0.24E+05	-90	410	36.6	2.9	37.6	2.2	36.6	2.7
																							
Mud_Tank_1	ZO6041	26/03/2020 (5) 13:31:56.52	26/03/2020 (5)	13:31:56.52	22.544	ZO6041, 1:31:57 PM (22.5 sec)	92	Normal	1	3.43E+04	0.29E+04	39.2	1.0	5.1E+03	1.9E+03	Below LOD	Below LOD	114.4	7.6	26.3	1.8	3.08	0.28
Mud_Tank_2	ZO6041	26/03/2020 (5) 13:56:27.22	26/03/2020 (5)	13:56:27.22	23.273	ZO6041, 1:56:27 PM (23.2 sec)	95	Normal	1	3.75E+04	0.27E+04	39.2	1.0	3.9E+03	2.0E+03	Below LOD	Below LOD	119.2	6.5	25.3	1.3	3.05	0.23
Mud_Tank_3	ZO6041	26/03/2020 (5) 13:57:22.87	26/03/2020 (5)	13:57:22.87	22.301	ZO6041, 1:57:23 PM (22.3 sec)	91	Normal	1	3.84E+04	0.26E+04	39.2	1.0	4.3E+03	1.3E+03	Below LOD	Below LOD	115.9	6.4	24.5	1.3	2.93	0.25
Mud_Tank_4	ZO6041	26/03/2020 (5) 14:21:06.68	26/03/2020 (5)	14:21:06.68	21.329	ZO6041, 2:21:07 PM (21.3 sec)	87	Normal	1	3.98E+04	0.27E+04	39.2	1.0	4.3E+03	1.2E+03	-62	84	131.2	6.4	27.6	1.3	3.12	0.23
Mud_Tank_5	ZO6041	26/03/2020 (5) 14:21:59.41	26/03/2020 (5)	14:21:59.41	22.544	ZO6041, 2:21:59 PM (22.5 sec)	92	Normal	1	4.24E+04	0.32E+04	39.2	1.0	4.2E+03	1.3E+03	-170	94	130.9	7.4	26.8	1.6	3.07	0.26
																							
Output_1_1	ZO6041	26/03/2020 (5) 13:35:46.65	26/03/2020 (5)	13:35:46.65	20.601	ZO6041, 1:35:47 PM (20.6 sec)	84	Normal	1	2.74E+04	0.13E+04	39.7	1.0	Below LOD	Below LOD	670	100	196	12	0.267	0.058	1.06	0.11
Output_1_2	ZO6041	26/03/2020 (5) 13:36:41.09	26/03/2020 (5)	13:36:41.09	21.329	ZO6041, 1:36:41 PM (21.3 sec)	87	Normal	1	2.55E+04	0.14E+04	39.7	1.0	Below LOD	Below LOD	520	130	358	18	2.93	0.22	4.54	0.32
Output_1_3	ZO6041	26/03/2020 (5) 13:37:36.74	26/03/2020 (5)	13:37:36.74	21.086	ZO6041, 1:37:37 PM (21 sec)	86	Normal	1	2.86E+04	0.18E+04	39.7	1.0	Below LOD	Below LOD	570	110	697	33	3.74	0.25	20.5	1.2
Output_1_4	ZO6041	26/03/2020 (5) 13:38:31.41	26/03/2020 (5)	13:38:31.41	20.6	ZO6041, 1:38:31 PM (20.6 sec)	84	Normal	1	2.92E+04	0.21E+04	39.7	1.0	Below LOD	Below LOD	900	150	364	20	7.65	0.41	4.30	0.31
Output_1_5	ZO6041	26/03/2020 (5) 13:39:25.85	26/03/2020 (5)	13:39:25.85	11.637	ZO6041, 1:39:26 PM (21 sec)	48	Normal	1	2.80E+04	0.22E+04	39.7	1.0	Below LOD	Below LOD	850	190	310	19	4.02	0.44	3.63	0.39
Output_1_6	ZO6041	26/03/2020 (5) 13:40:21.26	26/03/2020 (5)	13:40:21.26	20.843	ZO6041, 1:40:21 PM (20.8 sec)	85	Normal	1	2.87E+04	0.19E+04	39.7	1.0	Below LOD	Below LOD	980	180	200	10	1.18	0.12	1.45	0.15
Output_1_7	ZO6041	26/03/2020 (5) 13:41:15.69	26/03/2020 (5)	13:41:15.69	21.329	ZO6041, 1:41:16 PM (21.3 sec)	87	Normal	1	3.13E+04	0.19E+04	39.7	1.0	Below LOD	Below LOD	1390	240	427	24	2.52	0.20	3.82	0.24
Output_1_8	ZO6041	26/03/2020 (5) 13:42:11.10	26/03/2020 (5)	13:42:11.10	20.843	ZO6041, 1:42:11 PM (20.8 sec)	85	Normal	1	3.11E+04	0.18E+04	39.7	1.0	Below LOD	Below LOD	1670	280	123.5	5.9	0.391	0.055	0.795	0.082
Output_1_9	ZO6041	26/03/2020 (5) 13:43:05.53	26/03/2020 (5)	13:43:05.53	21.087	ZO6041, 1:43:06 PM (21 sec)	86	Normal	1	3.01E+04	0.20E+04	39.7	1.0	Below LOD	Below LOD	2840	490	428	21	4.58	0.31	5.15	0.36
Output_1_10	ZO6041	26/03/2020 (5) 13:44:01.91	26/03/2020 (5)	13:44:01.91	20.357	ZO6041, 1:44:02 PM (20.3 sec)	83	Normal	1	3.09E+04	0.20E+04	39.7	1.0	Below LOD	Below LOD	4260	800	162.1	7.5	1.92	0.15	1.28	0.13
Output_1_11	ZO6041	26/03/2020 (5) 13:47:04.65	26/03/2020 (5)	13:47:04.65	20.6	ZO6041, 1:47:05 PM (20.6 sec)	84	Normal	1	2.90E+04	0.17E+04	39.7	1.0	Below LOD	Below LOD	Below LOD	Below LOD	513	29	11.87	0.75	10.84	0.77
Output_1_12	ZO6041	26/03/2020 (5) 13:47:59.33	26/03/2020 (5)	13:47:59.33	21.086	ZO6041, 1:47:59 PM (21 sec)	86	Normal	1	3.06E+04	0.16E+04	39.7	1.0	Below LOD	Below LOD	Below LOD	Below LOD	616	30	8.34	0.53	18.7	1.3
Output_1_13	ZO6041	26/03/2020 (5) 13:48:55.71	26/03/2020 (5)	13:48:55.71	21.572	ZO6041, 1:48:56 PM (21.5 sec)	88	Normal	1	3.25E+04	0.20E+04	39.7	1.0	Below LOD	Below LOD	Below LOD	Below LOD	143.5	8.6	2.16	0.18	1.108	0.099
Output_1_14	ZO6041	26/03/2020 (5) 13:49:51.36	26/03/2020 (5)	13:49:51.36	21.329	ZO6041, 1:49:51 PM (21.3 sec)	87	Normal	1	3.05E+04	0.17E+04	39.7	1.0	Below LOD	Below LOD	Below LOD	Below LOD	621	31	14.79	0.79	17.0	1.0
Output_1_15	ZO6041	26/03/2020 (5) 13:50:46.77	26/03/2020 (5)	13:50:46.77	20.843	ZO6041, 1:50:47 PM (20.8 sec)	85	Normal	1	3.13E+04	0.20E+04	39.7	1.0	Below LOD	Below LOD	Below LOD	Below LOD	280	16	0.70	0.10	1.92	0.17
Output_1_16	ZO6041	26/03/2020 (5) 13:51:42.17	26/03/2020 (5)	13:51:42.17	21.328	ZO6041, 1:51:42 PM (21.3 sec)	87	Normal	1	2.91E+04	0.18E+04	39.7	1.0	Below LOD	Below LOD	Below LOD	Below LOD	212	12	0.509	0.076	0.91	0.10
Output_1_17	ZO6041	26/03/2020 (5) 13:52:37.58	26/03/2020 (5)	13:52:37.58	21.086	ZO6041, 1:52:38 PM (21 sec)	86	Normal	1	3.18E+04	0.21E+04	39.7	1.0	Below LOD	Below LOD	Below LOD	Below LOD	225	12	0.343	0.062	2.30	0.22
Output_1_18	ZO6041	26/03/2020 (5) 13:53:31.04	26/03/2020 (5)	13:53:31.04	22.545	ZO6041, 1:53:31 PM (22.5 sec)	92	Normal	1	2.84E+04	0.18E+04	39.7	1.0	Below LOD	Below LOD	Below LOD	Below LOD	288	14	5.34	0.31	4.54	0.27
Output_1_19	ZO6041	26/03/2020 (5) 13:54:28.15	26/03/2020 (5)	13:54:28.15	21.572	ZO6041, 1:54:28 PM (21.5 sec)	88	Normal	1	3.07E+04	0.18E+04	39.7	1.0	Below LOD	Below LOD	Below LOD	Below LOD	333	15	5.96	0.34	2.72	0.19
Output_1_20	ZO6041	26/03/2020 (5) 13:55:24.53	26/03/2020 (5)	13:55:24.53	21.329	ZO6041, 1:55:25 PM (21.3 sec)	87	Normal	1	3.30E+04	0.28E+04	39.7	1.0	Below LOD	Below LOD	Below LOD	Below LOD	201.0	9.1	1.10	0.11	1.24	0.12
Output_1_21	ZO6041	26/03/2020 (5) 14:00:20.27	26/03/2020 (5)	14:00:20.27	21.329	ZO6041, 2:00:20 PM (21.3 sec)	87	Normal	1	3.05E+04	0.18E+04	39.7	1.0	Below LOD	Below LOD	-3620	590	517	26	12.89	0.62	14.96	0.95
Output_1_22	ZO6041	26/03/2020 (5) 14:01:15.92	26/03/2020 (5)	14:01:15.92	16.799	ZO6041, 2:01:16 PM (21.8 sec)	69	Normal	1	3.10E+04	0.25E+04	39.7	1.0	Below LOD	Below LOD	-5340	990	535	35	15.96	0.86	6.17	0.42
Output_1_23	ZO6041	26/03/2020 (5) 14:02:15.70	26/03/2020 (5)	14:02:15.70	21.572	ZO6041, 2:02:16 PM (21.5 sec)	88	Normal	1	3.15E+04	0.19E+04	39.7	1.0	2.8E+03	1.6E+03	Below LOD	Below LOD	523	24	2.43	0.18	14.45	0.76
Output_1_24	ZO6041	26/03/2020 (5) 14:03:14.27	26/03/2020 (5)	14:03:14.27	8.2352	ZO6041, 2:03:14 PM (20.6 sec)	34	Normal	1	2.77E+04	0.30E+04	39.7	1.0	Below LOD	Below LOD	6.1E+03	2.0E+03	486	41	12.7	1.3	6.23	0.69
Output_1_25	ZO6041	26/03/2020 (5) 14:04:09.19	26/03/2020 (5)	14:04:09.19	20.357	ZO6041, 2:04:09 PM (20.3 sec)	83	Normal	1	2.72E+04	0.18E+04	39.7	1.0	Below LOD	Below LOD	4070	470	542	26	14.86	0.95	9.59	0.73
Output_1_26	ZO6041	26/03/2020 (5) 14:05:08.24	26/03/2020 (5)	14:05:08.24	20.357	ZO6041, 2:05:08 PM (20.3 sec)	83	Normal	1	2.88E+04	0.18E+04	39.7	1.0	Below LOD	Below LOD	2040	330	135.1	7.7	0.947	0.098	0.754	0.086
Output_1_27	ZO6041	26/03/2020 (5) 14:06:02.67	26/03/2020 (5)	14:06:02.67	20.843	ZO6041, 2:06:03 PM (20.8 sec)	85	Normal	1	3.35E+04	0.20E+04	39.7	1.0	Below LOD	Below LOD	1790	200	138.6	8.1	0.697	0.087	0.97	0.11
Output_1_28	ZO6041	26/03/2020 (5) 14:06:59.05	26/03/2020 (5)	14:06:59.05	20.843	ZO6041, 2:06:59 PM (20.8 sec)	85	Normal	1	2.93E+04	0.20E+04	39.7	1.0	Below LOD	Below LOD	1210	200	273	13	2.20	0.19	3.15	0.25
Output_1_29	ZO6041	26/03/2020 (5) 14:07:54.46	26/03/2020 (5)	14:07:54.46	20.843	ZO6041, 2:07:54 PM (20.8 sec)	85	Normal	1	3.08E+04	0.23E+04	39.7	1.0	Below LOD	Below LOD	1170	190	244	11	0.282	0.062	0.369	0.068
Output_1_30	ZO6041	26/03/2020 (5) 14:08:50.11	26/03/2020 (5)	14:08:50.11	20.357	ZO6041, 2:08:50 PM (20.3 sec)	83	Normal	1	2.95E+04	0.19E+04	39.7	1.0	3.8E+03	2.0E+03	1050	180	621	33	21.1	1.3	13.23	0.93
Output_1_31	ZO6041	26/03/2020 (5) 14:11:48.24	26/03/2020 (5)	14:11:48.24	20.6	ZO6041, 2:11:48 PM (20.6 sec)	84	Normal	1	3.01E+04	0.22E+04	39.7	1.0	Below LOD	Below LOD	1920	340	456	24	2.87	0.26	4.72	0.41
Output_1_32	ZO6041	26/03/2020 (5) 14:12:42.67	26/03/2020 (5)	14:12:42.67	21.086	ZO6041, 2:12:43 PM (21 sec)	86	Normal	1	3.04E+04	0.20E+04	39.7	1.0	Below LOD	Below LOD	4520	840	312	16	2.91	0.23	4.02	0.30
Output_1_33	ZO6041	26/03/2020 (5) 14:13:39.05	26/03/2020 (5)	14:13:39.05	21.086	ZO6041, 2:13:39 PM (21 sec)	86	Normal	1	2.78E+04	0.21E+04	39.7	1.0	Below LOD	Below LOD	Below LOD	Below LOD	132.2	7.8	1.53	0.15	2.05	0.21
Output_1_34	ZO6041	26/03/2020 (5) 14:14:35.43	26/03/2020 (5)	14:14:35.43	20.114	ZO6041, 2:14:35 PM (20.1 sec)	82	Normal	1	2.95E+04	0.20E+04	39.7	1.0	Below LOD	Below LOD	Below LOD	Below LOD	290	15	5.72	0.32	2.89	0.22
Output_1_35	ZO6041	26/03/2020 (5) 14:15:30.83	26/03/2020 (5)	14:15:30.83	20.357	ZO6041, 2:15:31 PM (20.3 sec)	83	Normal	1	3.06E+04	0.19E+04	39.7	1.0	Below LOD	Below LOD	Below LOD	Below LOD	184.1	9.1	3.47	0.27	1.80	0.14
Output_1_36	ZO6041	26/03/2020 (5) 14:16:26.48	26/03/2020 (5)	14:16:26.48	20.357	ZO6041, 2:16:26 PM (20.3 sec)	83	Normal	1	3.19E+04	0.21E+04	39.7	1.0	Below LOD	Below LOD	Below LOD	Below LOD	107.9	6.7	0.435	0.073	0.530	0.077
Output_1_37	ZO6041	26/03/2020 (5) 14:17:21.16	26/03/2020 (5)	14:17:21.16	12.668	ZO6041, 2:17:21 PM (20.6 sec)	52	Normal	1	3.32E+04	0.32E+04	39.7	1.0	3.0E+03	2.4E+03	Below LOD	Below LOD	240	17	1.48	0.18	3.69	0.39
Output_1_38	ZO6041	26/03/2020 (5) 14:18:14.87	26/03/2020 (5)	14:18:14.87	21.086	ZO6041, 2:18:15 PM (21 sec)	86	Normal	1	2.98E+04	0.19E+04	39.7	1.0	Below LOD	Below LOD	Below LOD	Below LOD	653	37	8.14	0.52	17.8	1.1
																							
